Country,Economy Code,ISO Code,Region,Income Group,Year,WBL INDEX,MOBILITY,Can a woman choose where to live in the same way as a man?,Can a woman travel outside her home in the same way as a man?,Can a woman apply for a passport in the same way as a man?,Can a woman travel outside the country in the same way as a man?,WORKPLACE,Can a woman get a job in the same way as a man?,Does the law prohibit discrimination in employment based on gender?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,PAY,Does the law mandate equal remuneration for work of equal value?,Can a woman work at night in the same way as a man?,Can a woman work in a job deemed dangerous in the same way as a man?,Can a woman work in an industrial job in the same way as a man?,MARRIAGE,Is the law free of legal provisions that require a married woman to obey her husband?,Can a woman be head of household in the same way as a man?,Is there legislation specifically addressing domestic violence?,Can a woman obtain a judgment of divorce in the same way as a man?,Does a woman have the same rights to remarry as a man?,PARENTHOOD,Is paid leave of at least 14 weeks available to mothers?,Length of paid maternity leave,Does the government administer 100% of maternity leave benefits?,Is there paid leave available to fathers?,Length of paid paternity leave,Is there paid parental leave?,Shared days,Days for the mother,Days for the father,Is dismissal of pregnant workers prohibited?,ENTREPRENEURSHIP,Does the law prohibit discrimination in access to credit based on gender?,Can a woman sign a contract in the same way as a man?,Can a woman register a business in the same way as a man?,Can a woman open a bank account in the same way as a man?,ASSETS,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do male and female surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,PENSION,Is the age at which men and women can retire with full pension benefits the same?,Is the age at which men and women can retire with partial pension benefits the same?,Is the mandatory retirement age for men and women the same?,Are periods of absence due to childcare accounted for in pension benefits?,Total(thousands),Overnight(thousands),OneDay(thousands),Cruise(thousands),Expenditures(USMillion)
France,FRA,FRA,High income: OECD,High income,2015,97.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,112,Yes,Yes,15,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,203302,84452,118851,NA,"66,441"
France,FRA,FRA,High income: OECD,High income,2016,100,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,112,Yes,Yes,15,Yes,0,180,180,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,203042,82682,120360,NA,"63,557"
France,FRA,FRA,High income: OECD,High income,2017,100,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,112,Yes,Yes,15,Yes,0,180,180,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,207274,86758,120516,NA,"67,717"
France,FRA,FRA,High income: OECD,High income,2018,100,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,112,Yes,Yes,15,Yes,0,180,180,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,211998,89322,122676,NA,"72,518"
France,FRA,FRA,High income: OECD,High income,2019,100,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,112,Yes,Yes,11,Yes,0,180,180,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,217877,90914,126963,NA,"70,786"
France,FRA,FRA,High income: OECD,High income,2020,100,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,112,Yes,Yes,11,Yes,0,180,180,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,117109,41684,75424,NA,"35,849"
France,FRA,FRA,High income: OECD,High income,2021,100,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,112,Yes,Yes,11,Yes,0,180,180,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,141297,48395,92902,NA,"44,402"
France,FRA,FRA,High income: OECD,High income,2022,100,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,112,Yes,Yes,25,Yes,0,180,180,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA
France,FRA,FRA,High income: OECD,High income,2023,100,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,112,Yes,Yes,25,Yes,0,180,180,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,1995,45.6,50,No,Yes,No,Yes,0,No,No,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,203,125,75,3,94
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,1996,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,217,145,70,2,91
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,1997,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,247,167,75,5,103
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,1998,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,274,195,72,7,110
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,1999,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,262,178,76,8,143
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2000,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,230,155,70,5,99
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2001,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,236,169,65,2,46
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2002,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,269,208,60,1,77
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2003,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,234,222,12,NA,84
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2004,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,351,244,107,NA,74
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2005,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,526,269,257,NA,13
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2006,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,..
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2007,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,26
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2008,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,27
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2009,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,26
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2010,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,89
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2011,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,25
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2012,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,40
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2013,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,61
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2014,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,44
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2015,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,29
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2016,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,..
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2017,51.3,50,No,Yes,No,Yes,25,No,Yes,No,No,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,..
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2018,57.5,50,No,Yes,No,Yes,75,No,Yes,Yes,Yes,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,..
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2019,57.5,50,No,Yes,No,Yes,75,No,Yes,Yes,Yes,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,..
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2020,57.5,50,No,Yes,No,Yes,75,No,Yes,Yes,Yes,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,..
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2021,57.5,50,No,Yes,No,Yes,75,No,Yes,Yes,Yes,25,No,Yes,No,No,20,No,No,No,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,..
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2022,82.5,75,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,25,No,Yes,No,No,80,Yes,Yes,Yes,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,2023,95,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,No,80,Yes,98,Yes,Yes,3,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,1995,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,NA,45,NA,NA,..
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,1996,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,NA,77,NA,NA,67
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,1997,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,NA,85,NA,NA,76
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,1998,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,NA,91,NA,NA,..
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,1999,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,NA,96,NA,NA,..
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2000,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,NA,79,NA,NA,..
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2001,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,NA,57,NA,NA,..
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2002,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,NA,81,NA,NA,..
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2003,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,NA,89,NA,NA,58
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2004,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,459,90,NA,NA,51
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2005,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,460,108,NA,NA,59
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2006,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,613,125,NA,NA,69
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2007,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,487,143,NA,NA,87
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2008,53.8,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,0,No,84,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,643,147,NA,NA,80
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2009,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,20,No,84,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,NA,142,NA,NA,64
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2010,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,20,No,84,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,NA,91,NA,NA,80
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2011,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,20,No,84,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No,NA,106,NA,NA,86
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2012,66.9,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,60,Yes,180,No,Yes,14,No,0,0,0,Yes,75,No,Yes,Yes,Yes,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No,NA,157,NA,NA,104
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2013,66.9,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,60,Yes,180,No,Yes,14,No,0,0,0,Yes,75,No,Yes,Yes,Yes,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No,NA,171,NA,NA,78
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2014,66.9,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,40,Yes,Yes,No,No,No,60,Yes,180,No,Yes,14,No,0,0,0,Yes,75,No,Yes,Yes,Yes,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No,NA,156,NA,NA,110
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2015,69.4,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,Yes,No,No,60,Yes,180,No,Yes,14,No,0,0,0,Yes,75,No,Yes,Yes,Yes,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No,NA,449,NA,NA,92
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2016,69.4,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,Yes,No,No,60,Yes,180,No,Yes,14,No,0,0,0,Yes,75,No,Yes,Yes,Yes,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No,NA,450,NA,NA,88
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2017,69.4,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,Yes,No,No,60,Yes,180,No,Yes,14,No,0,0,0,Yes,75,No,Yes,Yes,Yes,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No,NA,522,NA,NA,128
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2018,69.4,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,Yes,No,No,60,Yes,180,No,Yes,14,No,0,0,0,Yes,75,No,Yes,Yes,Yes,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No,NA,552,NA,NA,174
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2019,69.4,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,Yes,No,No,60,Yes,180,No,Yes,14,No,0,0,0,Yes,75,No,Yes,Yes,Yes,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No,NA,620,NA,NA,157
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2020,69.4,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,Yes,No,No,60,Yes,180,No,Yes,14,No,0,0,0,Yes,75,No,Yes,Yes,Yes,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No,NA,246,NA,NA,53
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2021,69.4,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,Yes,No,No,60,Yes,180,No,Yes,14,No,0,0,0,Yes,75,No,Yes,Yes,Yes,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No,NA,332,NA,NA,67
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2022,69.4,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,Yes,No,No,60,Yes,180,No,Yes,14,No,0,0,0,Yes,75,No,Yes,Yes,Yes,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No,NA,NA,NA,NA,NA
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,2023,69.4,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,Yes,No,No,60,Yes,180,No,Yes,14,No,0,0,0,Yes,75,No,Yes,Yes,Yes,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No,NA,NA,NA,NA,NA
Georgia,GEO,GEO,Europe & Central Asia,Upper middle income,1995,61.3,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,0,No,No,No,No,80,Yes,Yes,No,Yes,Yes,60,Yes,126,Yes,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No,85,NA,NA,NA,..
